"position","variable_name"
1,"_STATE"
2,"FMONTH"
3,"IDATE"
4,"IMONTH"
5,"IDAY"
6,"IYEAR"
7,"DISPCODE"
8,"SEQNO"
9,"_PSU"
10,"CTELENM1"
11,"PVTRESD1"
12,"COLGHOUS"
13,"STATERE1"
14,"CELPHON1"
15,"LADULT1"
16,"NUMADULT"
17,"RESPSLC1"
18,"LANDSEX2"
19,"LNDSXBRT"
20,"SAFETIME"
21,"CTELNUM1"
22,"CELLFON5"
23,"CADULT1"
24,"CELLSEX2"
25,"CELSXBRT"
26,"PVTRESD3"
27,"CCLGHOUS"
28,"CSTATE1"
29,"LANDLINE"
30,"HHADULT"
31,"SEXVAR"
32,"GENHLTH"
33,"PHYSHLTH"
34,"MENTHLTH"
35,"POORHLTH"
36,"PRIMINS1"
37,"PERSDOC3"
38,"MEDCOST1"
39,"CHECKUP1"
40,"EXERANY2"
41,"EXRACT12"
42,"EXEROFT1"
43,"EXERHMM1"
44,"EXRACT22"
45,"EXEROFT2"
46,"EXERHMM2"
47,"STRENGTH"
48,"BPHIGH6"
49,"BPMEDS1"
50,"CHOLCHK3"
51,"TOLDHI3"
52,"CHOLMED3"
53,"CVDINFR4"
54,"CVDCRHD4"
55,"CVDSTRK3"
56,"ASTHMA3"
57,"ASTHNOW"
58,"CHCSCNC1"
59,"CHCOCNC1"
60,"CHCCOPD3"
61,"ADDEPEV3"
62,"CHCKDNY2"
63,"HAVARTH4"
64,"DIABETE4"
65,"DIABAGE4"
66,"MARITAL"
67,"EDUCA"
68,"RENTHOM1"
69,"NUMHHOL4"
70,"NUMPHON4"
71,"CPDEMO1C"
72,"VETERAN3"
73,"EMPLOY1"
74,"CHILDREN"
75,"INCOME3"
76,"PREGNANT"
77,"WEIGHT2"
78,"HEIGHT3"
79,"DEAF"
80,"BLIND"
81,"DECIDE"
82,"DIFFWALK"
83,"DIFFDRES"
84,"DIFFALON"
85,"FALL12MN"
86,"FALLINJ5"
87,"SMOKE100"
88,"SMOKDAY2"
89,"USENOW3"
90,"ECIGNOW2"
91,"ALCDAY4"
92,"AVEDRNK3"
93,"DRNK3GE5"
94,"MAXDRNKS"
95,"FLUSHOT7"
96,"FLSHTMY3"
97,"PNEUVAC4"
98,"SHINGLE2"
99,"HIVTST7"
100,"HIVTSTD3"
101,"SEATBELT"
102,"DRNKDRI2"
103,"COVIDPO1"
104,"COVIDSM1"
105,"COVIDACT"
106,"PDIABTS1"
107,"PREDIAB2"
108,"DIABTYPE"
109,"INSULIN1"
110,"CHKHEMO3"
111,"EYEEXAM1"
112,"DIABEYE1"
113,"DIABEDU1"
114,"FEETSORE"
115,"ARTHEXER"
116,"ARTHEDU"
117,"LMTJOIN3"
118,"ARTHDIS2"
119,"JOINPAI2"
120,"LCSFIRST"
121,"LCSLAST"
122,"LCSNUMCG"
123,"LCSCTSC1"
124,"LCSSCNCR"
125,"LCSCTWHN"
126,"HADMAM"
127,"HOWLONG"
128,"CERVSCRN"
129,"CRVCLCNC"
130,"CRVCLPAP"
131,"CRVCLHPV"
132,"HADHYST2"
133,"PSATEST1"
134,"PSATIME1"
135,"PCPSARS2"
136,"PSASUGS1"
137,"PCSTALK2"
138,"HADSIGM4"
139,"COLNSIGM"
140,"COLNTES1"
141,"SIGMTES1"
142,"LASTSIG4"
143,"COLNCNCR"
144,"VIRCOLO1"
145,"VCLNTES2"
146,"SMALSTOL"
147,"STOLTEST"
148,"STOOLDN2"
149,"BLDSTFIT"
150,"SDNATES1"
151,"CNCRDIFF"
152,"CNCRAGE"
153,"CNCRTYP2"
154,"CSRVTRT3"
155,"CSRVDOC1"
156,"CSRVSUM"
157,"CSRVRTRN"
158,"CSRVINST"
159,"CSRVINSR"
160,"CSRVDEIN"
161,"CSRVCLIN"
162,"CSRVPAIN"
163,"CSRVCTL2"
164,"INDORTAN"
165,"NUMBURN3"
166,"SUNPRTCT"
167,"WKDAYOUT"
168,"WKENDOUT"
169,"CIMEMLO1"
170,"CDWORRY"
171,"CDDISCU1"
172,"CDHOUS1"
173,"CDSOCIA1"
174,"CAREGIV1"
175,"CRGVREL4"
176,"CRGVLNG1"
177,"CRGVHRS1"
178,"CRGVPRB3"
179,"CRGVALZD"
180,"CRGVPER1"
181,"CRGVHOU1"
182,"CRGVEXPT"
183,"LASTSMK2"
184,"STOPSMK2"
185,"MENTCIGS"
186,"MENTECIG"
187,"HEATTBCO"
188,"FIREARM5"
189,"GUNLOAD"
190,"LOADULK2"
191,"HASYMP1"
192,"HASYMP2"
193,"HASYMP3"
194,"HASYMP4"
195,"HASYMP5"
196,"HASYMP6"
197,"STRSYMP1"
198,"STRSYMP2"
199,"STRSYMP3"
200,"STRSYMP4"
201,"STRSYMP5"
202,"STRSYMP6"
203,"FIRSTAID"
204,"ASPIRIN"
205,"BIRTHSEX"
206,"SOMALE"
207,"SOFEMALE"
208,"TRNSGNDR"
209,"MARIJAN1"
210,"MARJSMOK"
211,"MARJEAT"
212,"MARJVAPE"
213,"MARJDAB"
214,"MARJOTHR"
215,"USEMRJN4"
216,"ACEDEPRS"
217,"ACEDRINK"
218,"ACEDRUGS"
219,"ACEPRISN"
220,"ACEDIVRC"
221,"ACEPUNCH"
222,"ACEHURT1"
223,"ACESWEAR"
224,"ACETOUCH"
225,"ACETTHEM"
226,"ACEHVSEX"
227,"ACEADSAF"
228,"ACEADNED"
229,"IMFVPLA4"
230,"HPVADVC4"
231,"HPVADSHT"
232,"TETANUS1"
233,"COVIDVA1"
234,"COVACGE1"
235,"COVIDNU2"
236,"LSATISFY"
237,"EMTSUPRT"
238,"SDLONELY"
239,"SDHEMPLY"
240,"FOODSTMP"
241,"SDHFOOD1"
242,"SDHBILLS"
243,"SDHUTILS"
244,"SDHTRNSP"
245,"SDHSTRE1"
246,"RRCLASS3"
247,"RRCOGNT2"
248,"RRTREAT"
249,"RRATWRK2"
250,"RRHCARE4"
251,"RRPHYSM2"
252,"RCSGEND1"
253,"RCSXBRTH"
254,"RCSRLTN2"
255,"CASTHDX2"
256,"CASTHNO2"
257,"QSTVER"
258,"QSTLANG"
259,"_METSTAT"
260,"_URBSTAT"
261,"MSCODE"
262,"_STSTR"
263,"_STRWT"
264,"_RAWRAKE"
265,"_WT2RAKE"
266,"_IMPRACE"
267,"_CHISPNC"
268,"_CRACE1"
269,"CAGEG"
270,"_CLLCPWT"
271,"_DUALUSE"
272,"_DUALCOR"
273,"_LLCPWT2"
274,"_LLCPWT"
275,"_RFHLTH"
276,"_PHYS14D"
277,"_MENT14D"
278,"_HLTHPL1"
279,"_HCVU653"
280,"_TOTINDA"
281,"METVL12_"
282,"METVL22_"
283,"MAXVO21_"
284,"FC601_"
285,"ACTIN13_"
286,"ACTIN23_"
287,"PADUR1_"
288,"PADUR2_"
289,"PAFREQ1_"
290,"PAFREQ2_"
291,"_MINAC12"
292,"_MINAC22"
293,"STRFREQ_"
294,"PAMISS3_"
295,"PAMIN13_"
296,"PAMIN23_"
297,"PA3MIN_"
298,"PAVIG13_"
299,"PAVIG23_"
300,"PA3VIGM_"
301,"_PACAT3"
302,"_PAINDX3"
303,"_PA150R4"
304,"_PA300R4"
305,"_PA30023"
306,"_PASTRNG"
307,"_PAREC3"
308,"_PASTAE3"
309,"_RFHYPE6"
310,"_CHOLCH3"
311,"_RFCHOL3"
312,"_MICHD"
313,"_LTASTH1"
314,"_CASTHM1"
315,"_ASTHMS1"
316,"_DRDXAR2"
317,"_MRACE1"
318,"_HISPANC"
319,"_RACE"
320,"_RACEG21"
321,"_RACEGR3"
322,"_RACEPRV"
323,"_SEX"
324,"_AGEG5YR"
325,"_AGE65YR"
326,"_AGE80"
327,"_AGE_G"
328,"HTIN4"
329,"HTM4"
330,"WTKG3"
331,"_BMI5"
332,"_BMI5CAT"
333,"_RFBMI5"
334,"_CHLDCNT"
335,"_EDUCAG"
336,"_INCOMG1"
337,"_SMOKER3"
338,"_RFSMOK3"
339,"_CURECI2"
340,"DRNKANY6"
341,"DROCDY4_"
342,"_RFBING6"
343,"_DRNKWK2"
344,"_RFDRHV8"
345,"_FLSHOT7"
346,"_PNEUMO3"
347,"_AIDTST4"
348,"_RFSEAT2"
349,"_RFSEAT3"
350,"_DRNKDRV"
