"Variable","Type","Category"
"GENHLTH","Ordinal","Health Status"
"PHYSHLTH","Ordinal","Health Status"
"MENTHLTH","Ordinal","Health Status"
"BPHIGH6","Binary","Chronic Conditions"
"CHOLCHK3","Binary","Chronic Conditions"
"CVDINFR4","Binary","Chronic Conditions"
"CVDCRHD4","Binary","Chronic Conditions"
"CVDSTRK3","Binary","Chronic Conditions"
"ASTHMA3","Binary","Chronic Conditions"
"CHCCOPD3","Binary","Chronic Conditions"
"ADDEPEV3","Binary","Chronic Conditions"
"CHCKDNY2","Binary","Chronic Conditions"
"HAVARTH4","Binary","Chronic Conditions"
"DIABETE4","Binary","Chronic Conditions"
"EXERANY2","Binary","Health Behaviors"
"SMOKE100","Binary","Health Behaviors"
"ECIGNOW2","Binary","Health Behaviors"
"PERSDOC3","Binary","Healthcare Access"
"MEDCOST1","Binary","Healthcare Access"
"CHECKUP1","Binary","Healthcare Access"
"DEAF","Binary","Disability"
"BLIND","Binary","Disability"
"DECIDE","Binary","Disability"
"DIFFWALK","Binary","Disability"
"DIFFDRES","Binary","Disability"
"DIFFALON","Binary","Disability"
